Data, H, |I|, Out_Acc, In_Acc, Sol_Time, MIP_Gap, Obj_Val, Obj_Bound, Model, Lambda, Calibration_Time, Rand_State, Time_Limit, Tuning_Used, Num_CB, Num_Cuts, Total_CB_Time, MIP_Node_Time, MIP_Sol_Time, Max_Features, Single_Feature_Use, Regularization
iris,3,112,0.973684211,0.988888889,130.5195222,9.13E-05,87.60000052,87.608,BendersOCT,0.2,1498.39627,42,3600,TRUE,43,31,1.534965992,,,,,
iris,3,112,0.973684211,1,0.015555143,0,112,112,BendersOCT,0,103.3446346,0,3600,TRUE,2,0,0.014669418,,,,,
monk1,3,93,0.935483871,0.933333333,48.975667,0,85,85,BendersOCT,0,340.3242492,138,3600,TRUE,76,66,1.071234941,,,,,
tic_tac_toe,3,718,0.75,0.779130435,3600.000971,0.209051387,505.2,610.8127606,BendersOCT,0.1,18000.92409,0,3600,TRUE,70,68,8.313699961,,,,,
climate,2,405,0.940740741,0.929012346,3600.005146,0.074270557,377,405,BendersOCT,0,18003.15214,0,3600,TRUE,46,35,64.32626629,,,,,
car,5,1296,0.798611111,0.856316297,3600.00446,0.181717012,546.5,645.8083471,BendersOCT,0.5,18001.85764,0,3600,TRUE,126,125,43.33278775,,,,,
climate,3,405,0.940740741,0.935185185,3600.005343,0.070733864,226.2,242.2,BendersOCT,0.4,18004.7373,0,3600,TRUE,34,31,128.3004117,,,,,
climate,4,405,0.933333333,0.944444444,3600.107025,0.057441253,383,405,BendersOCT,0,18006.85456,0,3600,TRUE,66,61,276.0751171,,,,,
monk1,3,93,0.774193548,0.933333333,11.597754,0,87,87,BendersOCT,0,218.1474947,15,3600,TRUE,26,25,0.605655909,,,,,
monk1,3,93,0.903225806,0.946666667,26.54713297,0,86,86,BendersOCT,0,188.5341974,89,3600,TRUE,43,39,0.953081369,,,,,
monk1,3,93,0.903225806,0.92,561.455914,0,86,86,BendersOCT,0,263.1512543,42,3600,TRUE,58,46,0.892822742,,,,,
monk1,3,93,0.903225806,0.906666667,20.70128512,0,86,86,BendersOCT,0,337.6047306,0,3600,TRUE,50,42,0.76416254,,,,,
monk3,3,91,1,0.95890411,57.70225596,0,49.4,49.4,BendersOCT,0.4,432.9310295,138,3600,TRUE,46,45,0.804129601,,,,,
monk3,3,91,0.935483871,0.95890411,104.7500758,2.07E-05,87.00000002,87.00180505,BendersOCT,0,281.1617401,15,3600,TRUE,37,35,0.567555428,,,,,
monk3,3,91,0.903225806,0.97260274,14.36121106,0,88,88,BendersOCT,0,229.5580334,89,3600,TRUE,59,50,0.431656122,,,,,
monk3,3,91,0.903225806,0.97260274,19.78981304,0,59.8,59.8,BendersOCT,0.3,139.0657061,42,3600,TRUE,65,55,0.716804266,,,,,
monk3,3,91,0.903225806,0.95890411,18.92823696,0,88,88,BendersOCT,0,141.6747718,0,3600,TRUE,51,45,0.648791313,,,,,
soybean_small,3,35,1,1,0.006605148,0,35,35,BendersOCT,0,19.64916368,138,3600,TRUE,2,0,0.00579524,,,,,
soybean_small,3,35,0.916666667,1,0.006419897,0,35,35,BendersOCT,0,14.89204584,15,3600,TRUE,2,0,0.005542755,,,,,
soybean_small,3,35,0.916666667,1,0.006700993,0,35,35,BendersOCT,0,16.64434816,89,3600,TRUE,2,0,0.00595808,,,,,
soybean_small,3,35,0.916666667,1,0.006414175,0,35,35,BendersOCT,0,8.028956663,42,3600,TRUE,2,0,0.005629301,,,,,
