Data,H,|I|,Out-Acc,In-Acc,Overfit,ObjVal,Num-Branch,Sol-Num,Priority-type,Sol-Time,Model,# CB,User Cuts,Cuts/CB,CB-Time,INT-CB-time,FRAC-CB-TIME,CB-Eps,Time Limit,Rand. State
climate,5,405,0.933333333,0.908641975,0.024691358,16,1,6,equal,3601.004542,MCF,0,0,0,0,0,0,0,3600,15
climate,5,405,0.296296296,0.355555556,-0.059259259,16,1,7,equal,3601.004542,MCF,0,0,0,0,0,0,0,3600,15
climate,5,405,0.296296296,0.355555556,-0.059259259,16,1,8,equal,3601.004542,MCF,0,0,0,0,0,0,0,3600,15
chess,5,2397,0.695869837,0.723821443,-0.027951606,662,7,1,equal,3600.909641,SCF,0,0,0,0,0,0,0,3600,15
chess,5,2397,0.703379224,0.72006675,-0.016687526,662,7,2,equal,3600.909641,SCF,0,0,0,0,0,0,0,3600,15
chess,5,2397,0.679599499,0.693366708,-0.013767209,662,5,3,equal,3600.909641,SCF,0,0,0,0,0,0,0,3600,15
chess,5,2397,0.663329161,0.688777639,-0.025448477,662,1,4,equal,3600.909641,SCF,0,0,0,0,0,0,0,3600,15
chess,5,2397,0.663329161,0.688777639,-0.025448477,662,1,5,equal,3600.909641,SCF,0,0,0,0,0,0,0,3600,15
chess,5,2397,0.667083855,0.658322904,0.008760951,662,1,6,equal,3600.909641,SCF,0,0,0,0,0,0,0,3600,15
chess,5,2397,0.667083855,0.658322904,0.008760951,662,1,7,equal,3600.909641,SCF,0,0,0,0,0,0,0,3600,15
chess,5,2397,0.508135169,0.526908636,-0.018773467,662,1,8,equal,3600.909641,SCF,0,0,0,0,0,0,0,3600,15
chess,5,2397,0.508135169,0.526908636,-0.018773467,662,0,9,equal,3600.909641,SCF,0,0,0,0,0,0,0,3600,15
chess,5,2397,0.491864831,0.473091364,0.018773467,2397,0,1,branching,14.09079599,SCF,0,0,0,0,0,0,0,3600,15
chess,5,2397,0.508135169,0.526908636,-0.018773467,2397,0,2,branching,14.09079599,SCF,0,0,0,0,0,0,0,3600,15
climate,5,405,0.066666667,0.091358025,-0.024691358,405,0,1,branching,226.7357218,SCF,0,0,0,0,0,0,0,3600,15
climate,5,405,0.933333333,0.908641975,0.024691358,405,0,2,branching,226.7357218,SCF,0,0,0,0,0,0,0,3600,15
climate,5,405,0.585185185,0.481481481,0.103703704,405,23,3,branching,226.7357218,SCF,0,0,0,0,0,0,0,3600,15
climate,5,405,0.933333333,0.908641975,0.024691358,405,0,1,branching,210.361408,MCF,0,0,0,0,0,0,0,3600,15
climate,5,405,0.585185185,0.481481481,0.103703704,405,23,2,branching,210.361408,MCF,0,0,0,0,0,0,0,3600,15
chess,5,2397,0.712140175,0.724238632,-0.012098456,661,3,1,data,3600.267469,CUT,0,0,0,0,0,0,0,3600,15
chess,5,2397,0.663329161,0.688777639,-0.025448477,661,1,2,data,3600.267469,CUT,0,0,0,0,0,0,0,3600,15
chess,5,2397,0.558197747,0.579891531,-0.021693784,661,8,3,data,3600.267469,CUT,0,0,0,0,0,0,0,3600,15
chess,5,2397,0.508135169,0.526908636,-0.018773467,661,1,4,data,3600.267469,CUT,0,0,0,0,0,0,0,3600,15
chess,5,2397,0.508135169,0.526908636,-0.018773467,661,0,5,data,3600.267469,CUT,0,0,0,0,0,0,0,3600,15
chess,5,2397,0.71339174,0.736754276,-0.023362537,631,5,1,data,3600.343551,CUT_w,0,0,0,0,0,0,0,3600,15
chess,5,2397,0.663329161,0.688777639,-0.025448477,631,1,2,data,3600.343551,CUT_w,0,0,0,0,0,0,0,3600,15
chess,5,2397,0.53942428,0.558197747,-0.018773467,631,6,3,data,3600.343551,CUT_w,0,0,0,0,0,0,0,3600,15
chess,5,2397,0.508135169,0.526908636,-0.018773467,631,1,4,data,3600.343551,CUT_w,0,0,0,0,0,0,0,3600,15
chess,5,2397,0.508135169,0.526908636,-0.018773467,631,0,5,data,3600.343551,CUT_w,0,0,0,0,0,0,0,3600,15
climate,5,405,0.940740741,0.965432099,-0.024691358,14,7,1,equal,3600.369457,CUT,0,0,0,0,0,0,0,3600,15
climate,5,405,0.940740741,0.95308642,-0.012345679,14,4,2,equal,3600.369457,CUT,0,0,0,0,0,0,0,3600,15
climate,5,405,0.940740741,0.935802469,0.004938272,14,4,3,equal,3600.369457,CUT,0,0,0,0,0,0,0,3600,15
climate,5,405,0.940740741,0.925925926,0.014814815,14,2,4,equal,3600.369457,CUT,0,0,0,0,0,0,0,3600,15
climate,5,405,0.925925926,0.911111111,0.014814815,14,1,5,equal,3600.369457,CUT,0,0,0,0,0,0,0,3600,15
climate,5,405,0.933333333,0.908641975,0.024691358,14,1,6,equal,3600.369457,CUT,0,0,0,0,0,0,0,3600,15
climate,5,405,0.296296296,0.355555556,-0.059259259,14,1,7,equal,3600.369457,CUT,0,0,0,0,0,0,0,3600,15
climate,5,405,0.296296296,0.355555556,-0.059259259,14,1,8,equal,3600.369457,CUT,0,0,0,0,0,0,0,3600,15
climate,5,405,0.97037037,0.950617284,0.019753086,20,6,1,equal,3600.579117,CUT_w,0,0,0,0,0,0,0,3600,15
